run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2025-12-06,1377996,135,2025,2025-12-06T17:00:00+00:00,Inter,Como,1,2025-12-06T22:13:25.912056+00:00
2025-12-06,1378000,135,2025,2025-12-06T14:00:00+00:00,Sassuolo,Fiorentina,1,2025-12-06T22:13:25.975683+00:00
2025-12-06,1378003,135,2025,2025-12-06T19:45:00+00:00,Verona,Atalanta,1,2025-12-06T22:13:26.041038+00:00
2025-12-06,1379109,39,2025,2025-12-06T12:30:00+00:00,Aston Villa,Arsenal,1,2025-12-06T22:13:26.105324+00:00
2025-12-06,1379110,39,2025,2025-12-06T15:00:00+00:00,Bournemouth,Chelsea,X,2025-12-06T22:13:26.166720+00:00
2025-12-06,1379112,39,2025,2025-12-06T15:00:00+00:00,Everton,Nottingham Forest,1,2025-12-06T22:13:26.231252+00:00
2025-12-06,1379114,39,2025,2025-12-06T17:30:00+00:00,Leeds,Liverpool,X,2025-12-06T22:13:26.299736+00:00
2025-12-06,1379115,39,2025,2025-12-06T15:00:00+00:00,Manchester City,Sunderland,1,2025-12-06T22:13:26.366045+00:00
2025-12-06,1379116,39,2025,2025-12-06T15:00:00+00:00,Newcastle,Burnley,1,2025-12-06T22:13:26.431391+00:00
2025-12-06,1379117,39,2025,2025-12-06T15:00:00+00:00,Tottenham,Brentford,1,2025-12-06T22:13:26.498178+00:00
2025-12-06,1380996,88,2025,2025-12-06T20:00:00+00:00,Feyenoord,PEC Zwolle,1,2025-12-06T22:13:26.568552+00:00
2025-12-06,1380997,88,2025,2025-12-06T15:30:00+00:00,Heerenveen,PSV Eindhoven,2,2025-12-06T22:13:26.645151+00:00
2025-12-06,1380998,88,2025,2025-12-06T19:00:00+00:00,Heracles,Telstar,X,2025-12-06T22:13:26.712617+00:00
2025-12-06,1380999,88,2025,2025-12-06T17:45:00+00:00,Fortuna Sittard,Ajax,2,2025-12-06T22:13:26.777472+00:00
2025-12-06,1382554,144,2025,2025-12-06T17:15:00+00:00,Union St. Gilloise,Gent,X,2025-12-06T22:13:26.851874+00:00
2025-12-06,1382555,144,2025,2025-12-06T15:00:00+00:00,Cercle Brugge,Standard Liege,2,2025-12-06T22:13:26.921530+00:00
2025-12-06,1382559,144,2025,2025-12-06T19:45:00+00:00,St. Truiden,Club Brugge KV,1,2025-12-06T22:13:26.986013+00:00
2025-12-06,1386767,40,2025,2025-12-06T15:00:00+00:00,Swansea,Oxford United,1,2025-12-06T22:13:27.050592+00:00
2025-12-06,1386769,40,2025,2025-12-06T15:00:00+00:00,Southampton,Birmingham,1,2025-12-06T22:13:27.187993+00:00
2025-12-06,1386770,40,2025,2025-12-06T15:00:00+00:00,Ipswich,Coventry,1,2025-12-06T22:13:27.252714+00:00
2025-12-06,1386771,40,2025,2025-12-06T12:30:00+00:00,Watford,Norwich,1,2025-12-06T22:13:27.316590+00:00
2025-12-06,1386774,40,2025,2025-12-06T12:30:00+00:00,Derby,Leicester,2,2025-12-06T22:13:27.437471+00:00
2025-12-06,1386775,40,2025,2025-12-06T15:00:00+00:00,QPR,West Brom,1,2025-12-06T22:13:27.505112+00:00
2025-12-06,1386776,40,2025,2025-12-06T15:00:00+00:00,Sheffield Utd,Stoke City,1,2025-12-06T22:13:27.575139+00:00
2025-12-06,1386777,40,2025,2025-12-06T15:00:00+00:00,Preston,Wrexham,X,2025-12-06T22:13:27.641324+00:00
2025-12-06,1386778,40,2025,2025-12-06T15:00:00+00:00,Bristol City,Millwall,2,2025-12-06T22:13:27.715340+00:00
